,Threshold Type,Max Lockdowns,Kappa,Threshold Up,Threshold Down,Cost,Num Lockdowns
289,symmetric,nomax,0.64,0.099,0.099,3192, 1296
283,symmetric,nomax,0.65,0.099,0.099,3143, 1332
278,symmetric,nomax,0.66,0.099,0.099,3096, 1366
253,symmetric,nomax,0.67,0.099,0.099,3050, 1398
280,symmetric,nomax,0.68,0.099,0.099,3005, 1428
266,symmetric,nomax,0.69,0.099,0.099,2961, 1457
265,symmetric,nomax,0.7,0.099,0.099,2919, 1485
285,symmetric,nomax,0.71,0.099,0.099,2878, 1511
247,symmetric,nomax,0.72,0.099,0.099,2838, 1536
272,symmetric,nomax,0.73,0.099,0.099,2799, 1559
262,symmetric,nomax,0.74,0.099,0.099,2761, 1582
252,symmetric,nomax,0.75,0.099,0.099,2724, 1603
258,symmetric,nomax,0.76,0.099,0.099,2688, 1623
244,symmetric,nomax,0.77,0.099,0.099,2654, 1643
267,symmetric,nomax,0.78,0.099,0.099,2620, 1661
275,symmetric,nomax,0.79,0.099,0.099,2586, 1677
248,symmetric,nomax,0.8,0.099,0.099,2554, 1694
264,symmetric,nomax,0.81,0.099,0.099,2523, 1709
296,symmetric,nomax,0.82,0.099,0.099,2492, 1723
257,symmetric,nomax,0.83,0.099,0.099,2462, 1736
254,symmetric,nomax,0.84,0.099,0.099,2433, 1749
274,symmetric,nomax,0.85,0.099,0.099,2404, 1760
286,symmetric,nomax,0.86,0.099,0.099,2376, 1770
271,symmetric,nomax,0.87,0.099,0.099,2349, 1780
292,symmetric,nomax,0.88,0.099,0.099,2322, 1789
284,symmetric,nomax,0.89,0.099,0.099,2296, 1797
282,symmetric,nomax,0.9,0.099,0.099,2270, 1804
259,symmetric,nomax,0.91,0.099,0.099,2245, 1810
256,symmetric,nomax,0.92,0.099,0.099,2221, 1816
276,symmetric,nomax,0.93,0.099,0.099,2197, 1821
261,symmetric,nomax,0.94,0.099,0.099,2174, 1826
270,symmetric,nomax,0.95,0.099,0.099,2151, 1829
250,symmetric,nomax,0.96,0.099,0.099,2129, 1833
290,symmetric,nomax,0.97,0.099,0.099,2107, 1835
288,symmetric,nomax,0.98,0.099,0.099,2085, 1836
281,symmetric,nomax,0.99,0.099,0.099,2064, 1837
