,Threshold Type,Max Lockdowns,Kappa,Threshold Up,Threshold Down,Cost,Num Lockdowns
39,symmetric,max1,0.84, 0.0, 0.0, 999999.0, 1
31,symmetric,max1,0.85, 0.0, 0.0, 999999.0, 1
57,symmetric,max1,0.86, 0.0, 0.0, 999999.0, 1
44,symmetric,max1,0.87, 0.0, 0.0, 999999.0, 1
37,symmetric,max1,0.88, 0.0, 0.0, 999999.0, 1
32,symmetric,max1,0.89, 0.0, 0.0, 999999.0, 1
54,symmetric,max1,0.9, 0.0, 0.0, 999999.0, 1
30,symmetric,max1,0.91, 0.0, 0.0, 999999.0, 1
40,symmetric,max1,0.92, 0.0, 0.0, 999999.0, 1
27,symmetric,max1,0.93, 0.0, 0.0, 999999.0, 1
51,symmetric,max1,0.94, 0.0, 0.0, 999999.0, 1
48,symmetric,max1,0.95, 0.0, 0.0, 999999.0, 1
52,symmetric,max1,0.96, 0.0, 0.0, 999999.0, 1
35,symmetric,max1,0.97, 0.0, 0.0, 999999.0, 1
53,symmetric,max1,0.98, 0.0, 0.0, 999999.0, 1
45,symmetric,max1,0.99, 0.0, 0.0, 999999.0, 1
65,symmetric,nomax,0.0, 0.0, 0.0, inf, 1
67,symmetric,nomax,0.01, 0.0, 0.0, inf, 1
70,symmetric,nomax,0.02, 0.0, 0.0, inf, 1
76,symmetric,nomax,0.03, 0.0, 0.0, inf, 1
80,symmetric,nomax,0.04, 0.0, 0.0, inf, 1
81,symmetric,nomax,0.05, 0.0, 0.0, inf, 1
72,symmetric,nomax,0.06, 0.0, 0.0, inf, 1
82,symmetric,nomax,0.07, 0.0, 0.0, inf, 1
83,symmetric,nomax,0.08, 0.0, 0.0, inf, 1
74,symmetric,nomax,0.09, 0.0, 0.0, inf, 1
89,symmetric,nomax,0.1, 0.0, 0.0, inf, 1
93,symmetric,nomax,0.11, 0.0, 0.0, inf, 1
87,symmetric,nomax,0.12, 0.0, 0.0, inf, 1
88,symmetric,nomax,0.13, 0.0, 0.0, inf, 1
94,symmetric,nomax,0.14, 0.0, 0.0, inf, 1
95,symmetric,nomax,0.15, 0.0, 0.0, inf, 1
97,symmetric,nomax,0.16, 0.0, 0.0, inf, 1
99,symmetric,nomax,0.17, 0.0, 0.0, inf, 1
102,symmetric,nomax,0.18, 0.0, 0.0, inf, 1
103,symmetric,nomax,0.19, 0.0, 0.0, inf, 1
106,symmetric,nomax,0.2, 0.0, 0.0, inf, 1
107,symmetric,nomax,0.21, 0.0, 0.0, inf, 1
110,symmetric,nomax,0.22, 0.0, 0.0, inf, 1
111,symmetric,nomax,0.23, 0.0, 0.0, inf, 1
114,symmetric,nomax,0.24, 0.0, 0.0, inf, 1
338,symmetric,nomax,0.25, 0.023, 0.023, 7611.0, 1
355,symmetric,nomax,0.26, 0.048, 0.048, 5838.0, 1
365,symmetric,nomax,0.27, 0.068, 0.068, 4946.0, 1
371,symmetric,nomax,0.28, 0.08600000000000001, 0.08600000000000001, 4307.0, 1
400,symmetric,nomax,0.28, 0.1, 0.1, 3868.0, 1
